Matchday,Date,Team 1,FT,Team 2
1,Fri Aug 6 2004,Werder Bremen,1-0,FC Schalke 04
1,Sat Aug 7 2004,Borussia Dortmund,1-2,VfL Wolfsburg
1,Sat Aug 7 2004,SC Freiburg,0-0,Hansa Rostock
1,Sat Aug 7 2004,Hamburger SV,0-2,Bayern München
1,Sat Aug 7 2004,Bayer 04 Leverkusen,2-1,Hannover 96
1,Sat Aug 7 2004,1. FC Kaiserslautern,1-3,1. FC Nürnberg
1,Sat Aug 7 2004,Hertha BSC,2-2,VfL Bochum
1,Sun Aug 8 2004,VfB Stuttgart,4-2,1. FSV Mainz 05
1,Sun Aug 8 2004,Arminia Bielefeld,0-0,Bor. Mönchengladbach
2,Sat Aug 14 2004,Bayern München,1-1,Hertha BSC
2,Sat Aug 14 2004,Hansa Rostock,0-4,Werder Bremen
2,Sat Aug 14 2004,FC Schalke 04,2-1,1. FC Kaiserslautern
2,Sat Aug 14 2004,Bor. Mönchengladbach,2-3,Borussia Dortmund
2,Sat Aug 14 2004,1. FC Nürnberg,1-1,VfB Stuttgart
2,Sat Aug 14 2004,1. FSV Mainz 05,2-1,Hamburger SV
2,Sun Aug 15 2004,VfL Bochum,2-2,Bayer 04 Leverkusen
2,Sun Aug 15 2004,VfL Wolfsburg,0-1,SC Freiburg
3,Sat Aug 28 2004,SC Freiburg,1-1,Bor. Mönchengladbach
3,Sat Aug 28 2004,Arminia Bielefeld,1-2,VfL Bochum
3,Sat Aug 28 2004,FC Schalke 04,0-2,Hansa Rostock
3,Sat Aug 28 2004,Bayer 04 Leverkusen,4-1,Bayern München
3,Sat Aug 28 2004,Hertha BSC,1-1,1. FSV Mainz 05
3,Sat Aug 28 2004,1. FC Kaiserslautern,2-3,VfB Stuttgart
3,Sat Aug 28 2004,Hamburger SV,4-3,1. FC Nürnberg
3,Sun Aug 29 2004,Borussia Dortmund,1-1,Hannover 96
3,Sun Aug 29 2004,Werder Bremen,1-2,VfL Wolfsburg
4,Sat Sep 11 2004,VfL Bochum,2-2,Borussia Dortmund
4,Sat Sep 11 2004,Bayern München,1-0,Arminia Bielefeld
4,Sat Sep 11 2004,VfB Stuttgart,2-0,Hamburger SV
4,Sat Sep 11 2004,VfL Wolfsburg,3-0,FC Schalke 04
4,Sat Sep 11 2004,Bor. Mönchengladbach,3-1,Werder Bremen
