Round,Date,Team 1,Team 2,FT,HT
1,1984-08-24,Werder Bremen,Bayer 05 Uerdingen,1-0,0-0
1,1984-08-24,VfL Bochum,Eintracht Frankfurt,3-3,1-2
1,1984-08-24,Bor. Mönchengladbach,FC Schalke 04,3-1,2-1
1,1984-08-25,Arminia Bielefeld,Bayern München,1-3,0-1
1,1984-08-25,Eintracht Braunschweig,1. FC Köln,1-3,1-1
1,1984-08-25,1. FC Kaiserslautern,VfB Stuttgart,2-1,2-0
1,1984-08-25,Karlsruher SC,Waldhof Mannheim,3-2,1-0
1,1984-08-25,Bayer Leverkusen,Fortuna Düsseldorf,4-3,2-2
1,1984-08-25,Borussia Dortmund,Hamburger SV,1-2,0-0
2,1984-08-28,Eintracht Frankfurt,Bayer Leverkusen,2-0,2-0
2,1984-08-28,VfB Stuttgart,Eintracht Braunschweig,6-1,1-0
2,1984-08-28,Bayer 05 Uerdingen,Borussia Dortmund,2-1,1-1
2,1984-08-29,Waldhof Mannheim,1. FC Kaiserslautern,1-1,1-0
2,1984-08-29,Hamburger SV,Bor. Mönchengladbach,1-1,0-1
2,1984-08-29,Fortuna Düsseldorf,Karlsruher SC,2-2,1-1
2,1984-08-29,Bayern München,Werder Bremen,4-2,2-1
2,1984-08-29,FC Schalke 04,VfL Bochum,2-3,1-0
2,1984-09-04,1. FC Köln,Arminia Bielefeld,1-1,0-0
3,1984-09-07,Karlsruher SC,Eintracht Frankfurt,2-2,0-0
3,1984-09-07,Bayer Leverkusen,FC Schalke 04,2-2,0-2
3,1984-09-07,Borussia Dortmund,Bor. Mönchengladbach,2-3,1-2
3,1984-09-08,Werder Bremen,1. FC Köln,6-2,1-1
3,1984-09-08,Arminia Bielefeld,VfB Stuttgart,2-7,1-4
3,1984-09-08,Eintracht Braunschweig,Waldhof Mannheim,0-1,0-1
3,1984-09-08,1. FC Kaiserslautern,Fortuna Düsseldorf,3-1,0-1
3,1984-09-08,VfL Bochum,Hamburger SV,0-0,0-0
3,1984-09-08,Bayer 05 Uerdingen,Bayern München,1-3,1-1
4,1984-09-15,Hamburger SV,Bayer Leverkusen,1-1,0-1
4,1984-09-15,Eintracht Frankfurt,1. FC Kaiserslautern,1-1,0-0
4,1984-09-15,Fortuna Düsseldorf,Eintracht Braunschweig,4-1,1-1
4,1984-09-15,Waldhof Mannheim,Arminia Bielefeld,0-0,0-0
4,1984-09-15,VfB Stuttgart,Werder Bremen,1-3,1-1
