Matchday,Date,Team 1,FT,Team 2
1,Fri Aug 24 1984,Werder Bremen,1-0,KFC Uerdingen
1,Fri Aug 24 1984,VfL Bochum,3-3,Eintracht Frankfurt
1,Fri Aug 24 1984,Bor. Mönchengladbach,3-1,FC Schalke 04
1,Sat Aug 25 1984,Arminia Bielefeld,1-3,Bayern München
1,Sat Aug 25 1984,Eintracht Braunschweig,1-3,1. FC Köln
1,Sat Aug 25 1984,Borussia Dortmund,1-2,Hamburger SV
1,Sat Aug 25 1984,Karlsruher SC,3-2,SV Waldhof Mannheim
1,Sat Aug 25 1984,Bayer 04 Leverkusen,4-3,Fortuna Düsseldorf
1,Sat Aug 25 1984,1. FC Kaiserslautern,2-1,VfB Stuttgart
2,Tue Aug 28 1984,KFC Uerdingen,2-1,Borussia Dortmund
2,Tue Aug 28 1984,VfB Stuttgart,6-1,Eintracht Braunschweig
2,Tue Aug 28 1984,Eintracht Frankfurt,2-0,Bayer 04 Leverkusen
2,Wed Aug 29 1984,SV Waldhof Mannheim,1-1,1. FC Kaiserslautern
2,Wed Aug 29 1984,FC Schalke 04,2-3,VfL Bochum
2,Wed Aug 29 1984,Fortuna Düsseldorf,2-2,Karlsruher SC
2,Wed Aug 29 1984,Hamburger SV,1-1,Bor. Mönchengladbach
2,Wed Aug 29 1984,Bayern München,4-2,Werder Bremen
2,Tue Sep 4 1984,1. FC Köln,1-1,Arminia Bielefeld
6,Wed Sep 5 1984,VfB Stuttgart,1-3,Bayern München
3,Fri Sep 7 1984,Bayer 04 Leverkusen,2-2,FC Schalke 04
3,Fri Sep 7 1984,Karlsruher SC,2-2,Eintracht Frankfurt
3,Fri Sep 7 1984,Borussia Dortmund,2-3,Bor. Mönchengladbach
3,Sat Sep 8 1984,1. FC Kaiserslautern,3-1,Fortuna Düsseldorf
3,Sat Sep 8 1984,VfL Bochum,0-0,Hamburger SV
3,Sat Sep 8 1984,Eintracht Braunschweig,0-1,SV Waldhof Mannheim
3,Sat Sep 8 1984,KFC Uerdingen,1-3,Bayern München
3,Sat Sep 8 1984,Werder Bremen,6-2,1. FC Köln
3,Sat Sep 8 1984,Arminia Bielefeld,2-7,VfB Stuttgart
4,Sat Sep 15 1984,1. FC Köln,1-5,KFC Uerdingen
4,Sat Sep 15 1984,Hamburger SV,1-1,Bayer 04 Leverkusen
4,Sat Sep 15 1984,Bor. Mönchengladbach,4-3,VfL Bochum
4,Sat Sep 15 1984,VfB Stuttgart,1-3,Werder Bremen
4,Sat Sep 15 1984,FC Schalke 04,3-1,Karlsruher SC
4,Sat Sep 15 1984,Bayern München,1-0,Borussia Dortmund
4,Sat Sep 15 1984,Fortuna Düsseldorf,4-1,Eintracht Braunschweig
4,Sat Sep 15 1984,Eintracht Frankfurt,1-1,1. FC Kaiserslautern
4,Sat Sep 15 1984,SV Waldhof Mannheim,0-0,Arminia Bielefeld
5,Fri Sep 21 1984,1. FC Kaiserslautern,2-2,FC Schalke 04
5,Fri Sep 21 1984,Eintracht Braunschweig,5-0,Eintracht Frankfurt
5,Fri Sep 21 1984,Borussia Dortmund,3-0,VfL Bochum
5,Sat Sep 22 1984,Arminia Bielefeld,1-1,Fortuna Düsseldorf
5,Sat Sep 22 1984,Karlsruher SC,1-1,Hamburger SV
5,Sat Sep 22 1984,Bayer 04 Leverkusen,3-2,Bor. Mönchengladbach
5,Sat Sep 22 1984,Bayern München,2-0,1. FC Köln
5,Sat Sep 22 1984,Werder Bremen,1-1,SV Waldhof Mannheim
5,Sat Sep 22 1984,KFC Uerdingen,3-2,VfB Stuttgart
6,Fri Sep 28 1984,FC Schalke 04,3-2,Eintracht Braunschweig
6,Fri Sep 28 1984,Eintracht Frankfurt,3-0,Arminia Bielefeld
6,Sat Sep 29 1984,1. FC Köln,6-1,Borussia Dortmund
6,Sat Sep 29 1984,VfL Bochum,0-0,Bayer 04 Leverkusen
6,Sat Sep 29 1984,Bor. Mönchengladbach,3-3,Karlsruher SC
6,Sat Sep 29 1984,SV Waldhof Mannheim,2-1,KFC Uerdingen
6,Sat Sep 29 1984,Fortuna Düsseldorf,3-2,Werder Bremen
6,Sat Sep 29 1984,Hamburger SV,3-2,1. FC Kaiserslautern
7,Fri Oct 5 1984,Borussia Dortmund,2-1,Bayer 04 Leverkusen
7,Fri Oct 5 1984,Karlsruher SC,1-1,VfL Bochum
7,Fri Oct 5 1984,KFC Uerdingen,5-2,Fortuna Düsseldorf
7,Sat Oct 6 1984,Werder Bremen,3-3,Eintracht Frankfurt
7,Sat Oct 6 1984,Bayern München,1-2,SV Waldhof Mannheim
7,Sat Oct 6 1984,Eintracht Braunschweig,3-1,Hamburger SV
7,Sat Oct 6 1984,1. FC Kaiserslautern,2-0,Bor. Mönchengladbach
7,Sat Oct 6 1984,1. FC Köln,1-1,VfB Stuttgart
7,Sat Oct 6 1984,Arminia Bielefeld,2-1,FC Schalke 04
8,Wed Oct 10 1984,FC Schalke 04,2-2,Werder Bremen
8,Wed Oct 10 1984,Eintracht Frankfurt,3-2,KFC Uerdingen
8,Wed Oct 10 1984,Fortuna Düsseldorf,0-2,Bayern München
8,Wed Oct 10 1984,VfB Stuttgart,2-0,Borussia Dortmund
8,Wed Oct 10 1984,Bayer 04 Leverkusen,4-1,Karlsruher SC
8,Wed Oct 10 1984,Hamburger SV,4-0,Arminia Bielefeld
8,Thu Oct 11 1984,Bor. Mönchengladbach,10-0,Eintracht Braunschweig
9,Fri Oct 19 1984,Eintracht Braunschweig,1-3,VfL Bochum
9,Fri Oct 19 1984,1. FC Kaiserslautern,3-3,Bayer 04 Leverkusen
9,Fri Oct 19 1984,KFC Uerdingen,1-1,FC Schalke 04
9,Sat Oct 20 1984,1. FC Köln,4-2,Fortuna Düsseldorf
9,Sat Oct 20 1984,Arminia Bielefeld,3-3,Bor. Mönchengladbach
9,Sat Oct 20 1984,VfB Stuttgart,3-0,SV Waldhof Mannheim
9,Sat Oct 20 1984,Bayern München,4-2,Eintracht Frankfurt
9,Sat Oct 20 1984,Werder Bremen,5-2,Hamburger SV
9,Sat Oct 20 1984,Borussia Dortmund,0-2,Karlsruher SC
8,Tue Oct 23 1984,VfL Bochum,3-0,1. FC Kaiserslautern
10,Fri Oct 26 1984,Karlsruher SC,0-0,1. FC Kaiserslautern
10,Fri Oct 26 1984,VfL Bochum,1-1,Arminia Bielefeld
