Round,Date,Team 1,Team 2,FT,HT
1,1971-08-14,Bayern München,Fortuna Düsseldorf,3-1,1-1
1,1971-08-14,1. FC Köln,Werder Bremen,0-0,0-0
1,1971-08-14,MSV Duisburg,Borussia Dortmund,2-1,0-1
1,1971-08-14,VfL Bochum,Eintracht Braunschweig,1-0,1-0
1,1971-08-14,Arminia Bielefeld,Rot-Weiss Oberhausen,0-1,0-0
1,1971-08-14,Hamburger SV,Eintracht Frankfurt,5-1,1-0
1,1971-08-14,VfB Stuttgart,Hertha BSC,3-0,2-0
1,1971-08-14,Hannover 96,FC Schalke 04,1-5,1-0
1,1971-08-14,1. FC Kaiserslautern,Bor. Mönchengladbach,1-0,0-0
2,1971-08-21,Borussia Dortmund,Hamburger SV,1-1,0-1
2,1971-08-21,Werder Bremen,1. FC Kaiserslautern,2-2,1-0
2,1971-08-21,Fortuna Düsseldorf,Hannover 96,2-0,1-0
2,1971-08-21,Hertha BSC,Bayern München,2-2,1-0
2,1971-08-21,Eintracht Braunschweig,VfB Stuttgart,1-1,0-0
2,1971-08-21,Rot-Weiss Oberhausen,VfL Bochum,2-3,1-1
2,1971-08-21,FC Schalke 04,MSV Duisburg,2-0,1-0
2,1971-08-21,Eintracht Frankfurt,1. FC Köln,2-2,2-1
2,1971-08-21,Bor. Mönchengladbach,Arminia Bielefeld,5-1,3-0
3,1971-08-28,Eintracht Frankfurt,Werder Bremen,4-0,1-0
3,1971-08-28,VfL Bochum,Bor. Mönchengladbach,0-2,0-1
3,1971-08-28,Hannover 96,Hertha BSC,1-1,0-0
3,1971-08-28,Arminia Bielefeld,1. FC Kaiserslautern,1-1,0-1
3,1971-08-28,MSV Duisburg,Fortuna Düsseldorf,0-0,0-0
3,1971-08-28,VfB Stuttgart,Rot-Weiss Oberhausen,1-1,0-1
3,1971-08-28,Bayern München,Eintracht Braunschweig,4-1,1-1
3,1971-08-28,Hamburger SV,FC Schalke 04,0-1,0-1
3,1971-08-28,1. FC Köln,Borussia Dortmund,2-1,1-0
4,1971-09-01,Rot-Weiss Oberhausen,Bayern München,1-1,1-0
4,1971-09-01,Borussia Dortmund,Eintracht Frankfurt,3-1,3-0
4,1971-09-01,Bor. Mönchengladbach,VfB Stuttgart,0-0,0-0
4,1971-09-01,Eintracht Braunschweig,Hannover 96,3-0,1-0
4,1971-09-01,Werder Bremen,Arminia Bielefeld,4-0,3-0
4,1971-09-01,1. FC Kaiserslautern,VfL Bochum,4-1,1-1
4,1971-09-01,Hertha BSC,MSV Duisburg,1-0,1-0
4,1971-09-01,Fortuna Düsseldorf,Hamburger SV,0-0,0-0
4,1971-09-01,FC Schalke 04,1. FC Köln,6-2,4-0
5,1971-09-04,Bayern München,Bor. Mönchengladbach,2-0,2-0
5,1971-09-04,1. FC Köln,Fortuna Düsseldorf,1-2,0-2
5,1971-09-04,MSV Duisburg,Eintracht Braunschweig,0-0,0-0
5,1971-09-04,VfB Stuttgart,1. FC Kaiserslautern,3-1,1-1
5,1971-09-04,Eintracht Frankfurt,FC Schalke 04,2-0,1-0
5,1971-09-04,VfL Bochum,Arminia Bielefeld,2-1,1-1
5,1971-09-04,Borussia Dortmund,Werder Bremen,1-5,1-2
5,1971-09-04,Hamburger SV,Hertha BSC,1-2,1-0
5,1971-09-04,Hannover 96,Rot-Weiss Oberhausen,1-0,0-0
6,1971-09-11,Bor. Mönchengladbach,Hannover 96,3-0,2-0
6,1971-09-11,Eintracht Braunschweig,Hamburger SV,1-1,1-1
6,1971-09-11,Rot-Weiss Oberhausen,MSV Duisburg,0-1,0-1
6,1971-09-11,Hertha BSC,1. FC Köln,1-1,1-0
6,1971-09-11,Werder Bremen,VfL Bochum,2-0,0-0
6,1971-09-11,Arminia Bielefeld,VfB Stuttgart,1-0,1-0
6,1971-09-11,FC Schalke 04,Borussia Dortmund,1-0,1-0
6,1971-09-11,1. FC Kaiserslautern,Bayern München,0-2,0-0
6,1971-09-11,Fortuna Düsseldorf,Eintracht Frankfurt,1-0,0-0
7,1971-09-18,Hamburger SV,Rot-Weiss Oberhausen,3-0,2-0
7,1971-09-18,MSV Duisburg,Bor. Mönchengladbach,1-5,0-2
