Matchday,Date,Team 1,FT,Team 2
1,Sat Aug 14 1971,Bayern München,3-1,Fortuna Düsseldorf
1,Sat Aug 14 1971,1. FC Köln,0-0,Werder Bremen
1,Sat Aug 14 1971,MSV Duisburg,2-1,Borussia Dortmund
1,Sat Aug 14 1971,VfL Bochum,1-0,Eintracht Braunschweig
1,Sat Aug 14 1971,Arminia Bielefeld,0-1,Rot-Weiß Oberhausen
1,Sat Aug 14 1971,Hamburger SV,5-1,Eintracht Frankfurt
1,Sat Aug 14 1971,VfB Stuttgart,3-0,Hertha BSC
1,Sat Aug 14 1971,Hannover 96,1-5,FC Schalke 04
1,Sat Aug 14 1971,1. FC Kaiserslautern,1-0,Bor. Mönchengladbach
2,Sat Aug 21 1971,Borussia Dortmund,1-1,Hamburger SV
2,Sat Aug 21 1971,Werder Bremen,2-2,1. FC Kaiserslautern
2,Sat Aug 21 1971,Fortuna Düsseldorf,2-0,Hannover 96
2,Sat Aug 21 1971,Hertha BSC,2-2,Bayern München
2,Sat Aug 21 1971,Eintracht Braunschweig,1-1,VfB Stuttgart
2,Sat Aug 21 1971,Rot-Weiß Oberhausen,2-3,VfL Bochum
2,Sat Aug 21 1971,FC Schalke 04,2-0,MSV Duisburg
2,Sat Aug 21 1971,Eintracht Frankfurt,2-2,1. FC Köln
2,Sat Aug 21 1971,Bor. Mönchengladbach,5-1,Arminia Bielefeld
3,Sat Aug 28 1971,Eintracht Frankfurt,4-0,Werder Bremen
3,Sat Aug 28 1971,VfL Bochum,0-2,Bor. Mönchengladbach
3,Sat Aug 28 1971,Hannover 96,1-1,Hertha BSC
3,Sat Aug 28 1971,Arminia Bielefeld,1-1,1. FC Kaiserslautern
3,Sat Aug 28 1971,MSV Duisburg,0-0,Fortuna Düsseldorf
3,Sat Aug 28 1971,VfB Stuttgart,1-1,Rot-Weiß Oberhausen
3,Sat Aug 28 1971,Bayern München,4-1,Eintracht Braunschweig
3,Sat Aug 28 1971,Hamburger SV,0-1,FC Schalke 04
3,Sat Aug 28 1971,1. FC Köln,2-1,Borussia Dortmund
4,Wed Sep 1 1971,Rot-Weiß Oberhausen,1-1,Bayern München
4,Wed Sep 1 1971,Borussia Dortmund,3-1,Eintracht Frankfurt
4,Wed Sep 1 1971,Bor. Mönchengladbach,0-0,VfB Stuttgart
4,Wed Sep 1 1971,Eintracht Braunschweig,3-0,Hannover 96
4,Wed Sep 1 1971,Werder Bremen,4-0,Arminia Bielefeld
4,Wed Sep 1 1971,1. FC Kaiserslautern,4-1,VfL Bochum
